# Hardware: Arduino UNO R4 Minima + 2x BioAmp EXG Pill
# Sampling Rate: 500 Hz  |  ADC: 14-bit (0-16383)  |  Baud: 230400
# Electrode plan: 2 bipolar channels, 1 shared neck reference
#   Channel1 = LEFT trapezius EMG
#   Channel2 = RIGHT trapezius EMG (slightly higher load in this session)
#   Channel3-6 = unused firmware slots (firmware always emits 6)
# NOTE: Firmware hardcodes NUM_CHANNELS=6 — always 6 columns regardless
#       of how many electrodes are physically wired.
# Counter = 8-bit hardware timer (wraps 0->255->0->...)
#
Counter,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
139,8053,8146,8193,8190,8189,8193
140,8211,8234,8191,8192,8192,8196
141,8260,8364,8195,8195,8192,8192
142,8071,8148,8192,8192,8192,8190
143,8173,8020,8192,8193,8192,8191
144,8252,8184,8192,8190,8192,8190
145,8200,8205,8192,8193,8195,8190
146,8132,8020,8190,8192,8189,8191
147,8103,8262,8189,8194,8190,8189
148,8299,8301,8195,8194,8192,8192
149,8247,8246,8190,8197,8189,8194
150,8206,8340,8190,8193,8192,8190
151,8219,8161,8188,8193,8195,8195
152,8130,8049,8191,8192,8192,8193
153,8212,8020,8189,8191,8192,8194
154,8210,8327,8195,8193,8189,8191
155,8150,8172,8194,8191,8191,8194
156,8276,8040,8191,8192,8191,8190
157,8221,8226,8197,8195,8191,8194
158,8027,8142,8194,8190,8195,8192
159,8247,8245,8191,8194,8193,8193
160,8132,8139,8187,8195,8190,8190
161,8238,8247,8197,8192,8192,8190
162,8282,8244,8189,8188,8193,8193
163,8101,8250,8189,8191,8194,8190
164,8228,8194,8194,8195,8195,8193
165,8217,8286,8197,8192,8190,8189
166,8180,8230,8195,8190,8190,8194
167,8271,8303,8193,8191,8189,8190
168,8094,8029,8193,8194,8192,8193
169,8086,8202,8194,8193,8193,8193
170,8156,8396,8194,8192,8194,8191
171,8182,7895,8193,8191,8192,8193
172,8266,8215,8192,8191,8191,8193
173,8267,8180,8192,8190,8192,8191
174,8248,8138,8190,8195,8190,8190
175,8237,8181,8191,8191,8196,8188
176,8187,8215,8189,8194,8189,8193
177,8219,8356,8192,8195,8192,8189
178,8155,8294,8190,8194,8196,8192
179,8234,8146,8190,8191,8192,8191
180,8193,8168,8192,8193,8192,8193
181,7969,7964,8195,8192,8191,8191
182,8146,8115,8194,8190,8192,8191
183,8195,8234,8189,8193,8195,8193
184,8250,8119,8190,8190,8188,8193
185,8211,8262,8194,8194,8195,8193
186,8267,8243,8190,8191,8189,8193
187,8151,8158,8192,8192,8191,8189
188,8168,8299,8193,8193,8191,8194
189,8131,8230,8190,8191,8193,8193
190,8243,8150,8192,8193,8189,8190
191,8322,8266,8189,8191,8193,8192
192,8225,8109,8191,8194,8196,8192
193,8131,8198,8193,8189,8189,8192
194,8201,8273,8189,8192,8192,8193
195,8260,8113,8193,8196,8191,8195
196,8104,8212,8192,8190,8193,8194
197,8218,8108,8193,8191,8192,8189
198,8185,8252,8192,8193,8191,8193
199,8129,8245,8195,8192,8193,8195
200,8203,8095,8192,8193,8196,8193
201,8256,8330,8191,8193,8192,8194
202,8195,8107,8192,8193,8193,8196
203,8219,8106,8193,8194,8189,8194
204,8025,8141,8192,8193,8190,8192
205,8119,8335,8192,8192,8193,8194
206,8255,8195,8191,8193,8195,8192
207,8241,8319,8191,8196,8193,8192
208,8212,8128,8189,8192,8191,8191
209,8368,8208,8195,8190,8192,8195
210,8143,8318,8190,8194,8189,8190
211,8068,7992,8191,8192,8193,8195
212,8200,8216,8191,8188,8194,8193
213,8088,8110,8194,8194,8191,8189
214,8157,8245,8191,8191,8191,8193
215,8174,8175,8194,8192,8193,8188
216,8198,8210,8191,8193,8191,8193
217,8167,8101,8193,8192,8192,8194
218,8274,8177,8190,8193,8196,8191
219,8230,8159,8196,8191,8192,8192
220,8400,8244,8190,8193,8191,8196
221,8085,8097,8193,8191,8191,8191
222,8200,8144,8193,8193,8193,8190
223,8197,8396,8193,8193,8192,8195
224,8127,8256,8192,8190,8191,8196
225,8381,8223,8192,8194,8195,8192
226,8141,8189,8192,8191,8195,8194
227,8153,8245,8192,8194,8191,8195
228,8120,8120,8194,8193,8188,8191
229,8281,8151,8196,8196,8194,8191
230,8134,8207,8191,8192,8191,8194
231,8193,8170,8189,8191,8194,8195
232,8200,8201,8192,8192,8188,8193
233,8122,8150,8197,8191,8194,8190
234,8303,8228,8190,8194,8190,8196
235,8182,8325,8195,8189,8193,8191
236,7986,8089,8195,8190,8192,8191
237,8192,8274,8191,8190,8190,8193
238,8205,8182,8193,8194,8191,8195
239,8227,8177,8195,8195,8193,8194
240,8209,7920,8191,8192,8192,8193
241,8150,8075,8192,8192,8193,8193
242,8302,8242,8191,8192,8196,8192
243,8203,8262,8190,8194,8189,8193
244,8150,8332,8191,8190,8195,8187
245,8137,8161,8190,8192,8192,8191
246,8248,8262,8192,8194,8190,8192
247,8156,8177,8190,8193,8189,8190
248,8350,8193,8192,8192,8192,8193
249,8203,8161,8189,8194,8194,8192
250,8068,8210,8193,8187,8192,8196
251,8242,8207,8194,8193,8195,8195
252,8295,8225,8188,8191,8189,8191
253,8170,8357,8193,8188,8192,8192
254,8004,8174,8194,8193,8189,8192
255,8132,8306,8190,8195,8193,8191
0,8284,8215,8195,8192,8194,8192
1,8156,7963,8193,8194,8191,8190
2,8191,8111,8191,8195,8187,8190
3,8279,8094,8192,8195,8192,8193
4,8102,8194,8193,8195,8193,8193
5,8216,8094,8192,8193,8193,8190
6,8059,8423,8193,8192,8194,8194
7,8219,8082,8190,8189,8190,8191
8,8356,8178,8192,8192,8193,8193
9,8196,8125,8189,8190,8194,8194
10,8372,8114,8192,8196,8188,8192
11,8152,8390,8190,8192,8193,8193
12,8130,8093,8191,8192,8191,8191
13,8264,8313,8194,8193,8192,8192
14,8212,8228,8194,8192,8193,8192
15,8103,8082,8193,8195,8191,8191
16,8147,8233,8190,8191,8191,8192
17,8222,8269,8191,8192,8192,8189
18,8013,8193,8194,8191,8190,8191
19,8251,8073,8192,8189,8190,8191
20,8166,8142,8197,8191,8193,8191
21,8157,8301,8193,8192,8190,8192
22,8190,8224,8192,8191,8193,8192
23,8197,8318,8191,8191,8193,8193
24,8212,8195,8192,8189,8189,8194
25,8252,8110,8192,8192,8191,8191
26,8274,8211,8193,8189,8194,8190
27,8087,8285,8194,8194,8190,8190
28,8266,8162,8190,8192,8191,8191
29,8104,8228,8189,8189,8193,8191
30,8116,8142,8188,8191,8194,8190
31,8335,8121,8193,8190,8191,8189
32,8170,8089,8190,8193,8191,8191
33,8196,8027,8188,8195,8195,8192
34,8172,8231,8193,8188,8195,8193
35,8214,8273,8197,8192,8194,8191
36,8183,8200,8192,8192,8192,8191
37,8275,8146,8194,8193,8190,8190
38,8235,8147,8192,8192,8190,8192
39,8110,8375,8192,8190,8193,8190
40,8252,8241,8194,8191,8193,8193
41,8177,8220,8191,8190,8195,8188
42,8197,8215,8193,8194,8193,8191
43,8170,8127,8193,8192,8189,8193
44,8096,8269,8191,8196,8194,8192
45,8123,8089,8194,8192,8190,8197
46,8265,8175,8192,8191,8191,8193
47,8212,8153,8190,8189,8193,8190
48,8180,8163,8193,8188,8196,8192
49,8171,8205,8190,8189,8198,8188
50,8263,8237,8192,8193,8193,8192
51,8131,8188,8192,8193,8192,8190
52,8189,8278,8194,8189,8193,8194
53,8201,8148,8193,8194,8194,8191
54,8152,8124,8192,8191,8191,8192
55,8287,8231,8194,8192,8196,8191
56,8214,8257,8195,8195,8192,8195
57,8201,8234,8193,8194,8193,8191
58,8207,8146,8192,8191,8193,8196
59,8135,8095,8189,8190,8193,8194
60,8158,8125,8190,8188,8194,8193
61,8161,8339,8191,8191,8191,8193
62,8165,8119,8191,8192,8191,8193
63,8215,8264,8192,8190,8190,8188
64,8177,8110,8192,8192,8193,8191
65,8264,8237,8193,8192,8194,8194
66,8139,8338,8192,8192,8193,8192
67,8316,8022,8193,8191,8195,8189
68,8151,8090,8192,8192,8192,8192
69,8065,8260,8188,8193,8193,8195
70,8339,8287,8190,8190,8190,8194
71,8223,8057,8192,8195,8191,8192
72,8206,8137,8190,8192,8193,8194
73,8173,8194,8193,8192,8194,8191
74,8148,8162,8195,8193,8191,8189
75,8101,8211,8194,8192,8192,8190
76,8197,8274,8192,8194,8189,8195
77,8184,8250,8195,8193,8191,8191
78,8248,8328,8192,8191,8194,8192
79,8221,8274,8191,8193,8193,8191
80,8107,8321,8191,8190,8193,8196
81,8226,8082,8191,8192,8192,8195
82,8225,8165,8191,8192,8192,8196
83,8197,8172,8192,8192,8191,8192
84,8140,8055,8192,8192,8193,8193
85,8257,8241,8192,8188,8193,8189
86,8219,8023,8193,8191,8193,8195
87,8167,8207,8194,8192,8191,8190
88,8166,8207,8194,8192,8188,8192
89,8222,8190,8189,8190,8194,8190
90,8128,8205,8187,8195,8191,8191
91,8131,8296,8194,8190,8190,8190
92,8244,8105,8189,8194,8193,8191
93,8236,8023,8192,8193,8191,8191
94,8270,8221,8190,8191,8194,8191
95,8267,8146,8188,8196,8193,8194
96,8207,8266,8193,8190,8193,8190
97,8082,8314,8194,8194,8189,8192
98,8137,8359,8191,8194,8194,8194
99,8094,8087,8187,8191,8193,8191
100,8185,8121,8191,8195,8191,8191
101,8205,8248,8193,8191,8192,8192
102,8211,8179,8189,8193,8188,8194
103,8182,8234,8192,8193,8193,8192
104,8218,8227,8192,8192,8190,8191
105,8320,8059,8193,8194,8189,8193
106,8134,8310,8192,8194,8189,8190
107,8180,8338,8190,8189,8194,8193
108,8207,8018,8194,8195,8191,8193
109,8134,8115,8192,8189,8195,8191
110,8184,8182,8192,8194,8191,8190
111,8201,8216,8190,8194,8189,8190
112,8189,8197,8191,8190,8190,8193
113,8169,8302,8190,8191,8194,8194
114,8207,8092,8192,8190,8192,8191
115,8266,8050,8195,8192,8191,8193
116,8262,8119,8189,8191,8192,8188
117,8220,8196,8189,8194,8193,8191
118,8218,8308,8195,8195,8194,8192
119,8076,8374,8192,8195,8195,8190
120,8122,8187,8191,8191,8191,8190
121,8209,8147,8194,8192,8189,8191
122,8214,8238,8191,8189,8191,8193
123,8144,8211,8196,8190,8193,8192
124,8044,8350,8193,8194,8190,8188
125,8248,8008,8191,8195,8190,8188
126,8103,8043,8196,8190,8193,8191
127,8290,8247,8191,8191,8192,8193
128,8281,8190,8193,8192,8192,8187
129,8281,8255,8193,8193,8190,8191
130,8303,8153,8195,8190,8192,8191
131,8275,8062,8195,8193,8190,8195
132,8229,8205,8192,8191,8194,8191
133,8021,8254,8190,8192,8194,8193
134,8113,8208,8193,8193,8188,8192
135,8164,8183,8191,8192,8190,8188
136,8145,8219,8196,8191,8189,8194
137,8239,8235,8192,8192,8191,8192
138,8298,8207,8191,8192,8192,8193
139,8029,8168,8192,8191,8189,8200
140,8108,8094,8189,8191,8190,8188
141,8241,8185,8190,8195,8190,8195
142,8256,8267,8194,8193,8192,8191
143,8186,8139,8191,8191,8192,8193
144,8152,8195,8190,8193,8191,8192
145,8106,8241,8193,8191,8192,8191
146,8310,8184,8194,8194,8191,8191
147,8195,8350,8193,8193,8191,8193
148,8227,8172,8194,8192,8195,8189
149,8234,8163,8190,8193,8195,8194
150,8164,8090,8189,8189,8189,8191
151,8185,8242,8195,8190,8194,8190
152,8243,8291,8191,8190,8194,8191
153,8221,8250,8191,8192,8190,8195
154,8211,8133,8195,8195,8194,8191
155,8108,8039,8193,8196,8195,8193
156,8072,8228,8193,8193,8190,8191
157,8330,8183,8196,8193,8190,8194
158,8206,8179,8191,8188,8194,8193
159,8135,8079,8194,8191,8193,8196
160,8248,8263,8192,8190,8193,8192
161,8204,8130,8193,8191,8193,8193
162,8149,8176,8195,8192,8193,8192
163,8197,8197,8193,8191,8189,8195
164,8179,8307,8193,8188,8194,8191
165,8274,8120,8194,8193,8194,8193
166,8005,8197,8191,8190,8192,8192
167,8206,8233,8190,8192,8192,8192
168,8162,8261,8190,8196,8189,8192
169,8226,8181,8188,8190,8193,8193
170,8108,8097,8196,8187,8193,8192
171,8198,8376,8190,8191,8192,8192
172,8311,8244,8192,8194,8194,8195
173,8064,8218,8191,8196,8191,8194
174,8196,8021,8193,8190,8193,8194
175,8188,8343,8194,8193,8190,8191
176,8314,8012,8194,8191,8192,8190
177,8365,7996,8191,8192,8192,8194
178,8318,8315,8192,8197,8192,8194
179,8181,8230,8193,8189,8191,8195
180,8208,8160,8192,8193,8192,8191
181,8064,8305,8195,8193,8194,8192
182,8008,8255,8193,8194,8191,8189
183,8241,8119,8193,8192,8189,8191
184,8222,8133,8193,8193,8195,8194
185,8193,8258,8194,8191,8195,8191
186,8072,8290,8192,8193,8189,8193
187,8207,8098,8189,8191,8193,8192
188,8211,8302,8193,8193,8191,8193
189,8229,8034,8191,8191,8193,8190
190,8298,8020,8191,8193,8193,8192
191,8076,8207,8193,8192,8192,8186
192,8210,8251,8194,8194,8190,8192
193,8132,8277,8192,8192,8191,8189
194,8243,8202,8193,8188,8190,8194
195,8265,8235,8195,8195,8190,8194
196,8142,8131,8192,8190,8192,8193
197,8190,8286,8197,8191,8191,8195
198,8194,8235,8193,8191,8193,8190
199,8112,8162,8188,8195,8195,8195
200,8235,8229,8194,8188,8191,8194
201,8151,8087,8193,8198,8192,8192
202,8201,8224,8195,8194,8193,8194
203,8192,8120,8193,8192,8193,8190
204,8330,8208,8192,8192,8192,8190
205,8241,8207,8190,8193,8193,8191
206,8059,8150,8192,8193,8193,8191
207,8245,8159,8190,8193,8190,8190
208,8142,8165,8191,8193,8194,8194
209,8199,8244,8193,8192,8194,8191
210,8196,8148,8195,8192,8190,8193
211,8241,8255,8193,8192,8192,8191
212,8107,8225,8190,8192,8193,8188
213,8152,8011,8193,8194,8192,8193
214,8188,8286,8194,8193,8194,8188
215,8108,8210,8191,8186,8197,8192
216,8176,8296,8192,8193,8190,8189
217,8401,8227,8192,8192,8189,8196
218,8332,8137,8190,8192,8193,8194
219,8142,8179,8193,8191,8193,8192
220,8171,8179,8192,8194,8192,8195
221,8179,8213,8193,8194,8195,8190
222,8279,8123,8190,8190,8189,8193
223,8167,8475,8191,8193,8193,8192
224,8001,8252,8193,8190,8191,8193
225,8084,8229,8191,8189,8195,8195
226,8069,8026,8195,8191,8196,8193
227,8270,8146,8191,8194,8190,8193
228,8230,8158,8192,8194,8191,8189
229,8171,8062,8194,8193,8194,8190
230,8279,8275,8189,8193,8191,8192
231,8231,8226,8188,8193,8192,8192
232,8380,8062,8189,8191,8192,8190
233,8279,8140,8195,8193,8188,8197
234,8133,8175,8191,8194,8192,8195
235,8229,8043,8197,8194,8191,8193
236,8129,8222,8191,8194,8191,8192
237,8048,8272,8192,8193,8195,8192
238,8250,8194,8195,8193,8189,8190
239,8174,8298,8196,8194,8194,8192
240,8061,8397,8196,8192,8191,8193
241,8166,8252,8194,8190,8191,8190
242,8175,8084,8194,8192,8194,8193
243,8146,8201,8193,8191,8193,8192
